GeneID	2_NPC_DMSO	2a_NPC_EPZ	4_NPC_DMSO	4a_NPC_EPZ	5_NPC_DMSO	5a_NPC_EPZ
ENSMUSG00000001750.15	834	1099	1694	2442	573	602
ENSMUSG00000001751.9	774	1099	1421	1771	579	710
ENSMUSG00000001755.12	2830	3386	3153	3917	2562	3030
ENSMUSG00000001761.7	4032	4654	5434	5574	3845	4101
ENSMUSG00000001763.14	206	282	471	555	211	265
ENSMUSG00000001767.5	3895	4007	3702	4364	3326	3597
ENSMUSG00000001768.16	1739	1910	1323	1862	1169	1529
ENSMUSG00000001773.14	4	5	0	6	1	0
ENSMUSG00000001774.8	7930	8254	8566	11803	8195	8746
ENSMUSG00000001783.3	11423	13327	10853	13494	9464	11235
ENSMUSG00000001785.13	4978	5393	4642	5392	3827	4322
ENSMUSG00000001786.14	921	1077	911	1092	607	726
ENSMUSG00000001794.13	8369	10568	8920	12937	7248	8460
ENSMUSG00000001802.16	10689	13741	9858	13710	10833	11942
ENSMUSG00000001804.9	1	1	8	8	1	3
ENSMUSG00000001815.15	27	20	58	83	58	81
ENSMUSG00000001819.4	6	11	20	28	18	13
ENSMUSG00000001823.5	0	0	1	1	1	0
ENSMUSG00000001827.12	400	419	1402	1485	222	279
ENSMUSG00000001829.17	3534	4051	3316	4068	2253	2692
ENSMUSG00000001833.17	20692	22362	18959	25838	17024	18837
ENSMUSG00000001844.10	2025	2749	1886	2375	1703	1845
ENSMUSG00000001847.14	23063	27164	21567	28943	20187	23740
ENSMUSG00000001855.15	5602	6450	5386	6362	4049	4711
ENSMUSG00000001864.13	2508	2893	2155	2256	1586	1682
ENSMUSG00000001865.2	0	0	0	0	0	0
ENSMUSG00000001870.15	2874	3041	4488	4602	1223	1481
ENSMUSG00000001891.16	5535	5544	5582	7732	4001	4502
ENSMUSG00000001901.15	101	163	109	136	83	93
ENSMUSG00000001909.16	5390	6689	6594	8977	3203	3487
ENSMUSG00000001910.4	12395	15004	13720	16114	8325	9750
ENSMUSG00000001911.16	3000	3150	1449	2099	517	561
ENSMUSG00000001918.17	2917	3597	3244	3298	1269	1502
ENSMUSG00000001924.15	78916	93281	63350	87812	65556	74449
ENSMUSG00000001930.17	18	28	45	37	10	14
ENSMUSG00000001942.8	1477	1729	2094	2211	1062	1532
ENSMUSG00000001943.8	58	52	143	123	14	9
ENSMUSG00000001946.14	188	226	799	876	240	315
ENSMUSG00000001948.10	192	279	242	336	226	329
ENSMUSG00000001962.8	3398	4713	3786	5363	2876	3256
ENSMUSG00000001964.14	5017	5590	5237	6610	4131	4904
ENSMUSG00000001983.7	1096	1189	977	1214	902	1022
ENSMUSG00000001985.9	14803	15637	11370	14965	12293	14835
ENSMUSG00000001986.16	4733	5220	3995	6207	3636	4641
ENSMUSG00000001988.9	9	12	6	12	1	9
ENSMUSG00000001995.9	12427	13588	8357	11032	6696	8040
ENSMUSG00000001998.15	2601	2907	2518	3198	1955	2101
ENSMUSG00000001999.15	914	1127	729	1118	459	530
ENSMUSG00000002006.12	17350	21029	10878	17235	12733	15164
ENSMUSG00000002007.5	6	5	9	7	4	14
ENSMUSG00000002010.17	8438	10624	7766	12275	7058	8196
ENSMUSG00000002012.13	2169	2901	1178	2021	929	1168
ENSMUSG00000002014.12	5495	6694	5726	8304	3833	4718
ENSMUSG00000002015.5	4649	5629	6899	8954	3267	3907
ENSMUSG00000002017.9	5420	5949	5267	7161	4350	4816
ENSMUSG00000002020.15	12	25	48	76	8	8
ENSMUSG00000002028.13	18403	16524	16345	21265	14636	19400
ENSMUSG00000002031.12	5804	6759	4944	6965	4477	5119
ENSMUSG00000002032.17	904	1215	783	1386	859	1042
ENSMUSG00000002033.14	0	1	0	2	0	0
ENSMUSG00000002043.17	930	1293	950	1279	894	1175
ENSMUSG00000002052.6	17258	19370	14758	18916	12485	14388
ENSMUSG00000002055.9	3249	3503	4591	4659	2528	2620
ENSMUSG00000002057.4	0	0	4	5	1	0
ENSMUSG00000002058.13	3527	4712	3353	4535	3211	3618
ENSMUSG00000002059.18	2570	3186	2275	2940	1135	1136
ENSMUSG00000002064.10	5112	6333	5089	7753	3942	4733
ENSMUSG00000002068.16	1762	2237	2264	2684	1010	1079
ENSMUSG00000002076.11	492	567	302	191	94	85
ENSMUSG00000002083.13	1186	1544	1659	2321	1299	1327
ENSMUSG00000002100.15	16	44	923	1349	15	20
ENSMUSG00000002102.15	14313	16757	14080	17697	11622	13427
ENSMUSG00000002103.15	7021	7963	7100	8460	6089	7047
ENSMUSG00000002104.11	11	16	18	22	7	5
ENSMUSG00000002105.15	1885	2500	2078	2958	1494	1825
ENSMUSG00000002107.18	19686	18721	10143	11918	10009	11517
ENSMUSG00000002108.10	45	50	50	107	53	48
ENSMUSG00000002109.14	1526	1778	1384	1815	845	969
ENSMUSG00000002111.8	1	8	6	9	2	2
ENSMUSG00000002129.11	15614	18258	14458	17689	12305	14084
ENSMUSG00000002147.18	242	323	325	437	94	94
ENSMUSG00000002190.13	1376	1519	921	1286	671	899
ENSMUSG00000002204.9	3	8	3	0	0	1
ENSMUSG00000002205.16	1896	2259	2275	2686	1635	1902
ENSMUSG00000002210.11	2017	2602	2053	3000	1885	2054
ENSMUSG00000002221.11	5908	7460	6317	7543	4993	5311
ENSMUSG00000002222.14	10198	10176	9149	11341	9605	10842
ENSMUSG00000002227.15	1889	2122	2568	3004	656	748
ENSMUSG00000002228.7	48	58	98	151	21	52
ENSMUSG00000002233.13	1544	1661	2764	3204	797	958
ENSMUSG00000002240.12	0	0	0	0	0	0
ENSMUSG00000002249.20	1553	1772	2387	2697	1656	1578
ENSMUSG00000002250.15	744	978	1252	1270	558	658
ENSMUSG00000002257.7	247	277	245	287	72	69
ENSMUSG00000002265.16	45703	44385	50267	64523	23988	25048
ENSMUSG00000002266.17	2834	2418	2868	3711	878	723
ENSMUSG00000002274.12	2670	3414	3151	2397	3731	3414
ENSMUSG00000002279.18	1033	1318	1428	1626	858	1034
ENSMUSG00000002280.10	1742	1926	1835	2493	1471	1591
ENSMUSG00000002289.15	242	313	128	155	19	34
ENSMUSG00000002297.16	3609	4098	4563	4604	2523	2555
ENSMUSG00000002307.15	3896	4771	3881	4936	3308	3611
ENSMUSG00000002308.15	1792	2091	2055	2488	1654	1754
ENSMUSG00000002319.16	2745	3813	3333	4420	2264	2407
ENSMUSG00000002320.15	2746	3409	3467	4636	1809	2131
ENSMUSG00000002324.8	1305	1539	2577	3944	1526	1543
ENSMUSG00000002325.15	1587	1872	2080	2721	1588	1683
ENSMUSG00000002326.6	2295	2621	2391	3218	1826	2130
ENSMUSG00000002329.7	3844	4208	3401	4641	3190	3537
ENSMUSG00000002332.16	2749	3232	2968	3592	2535	2899
ENSMUSG00000002341.8	33087	35942	33865	43298	31879	36838
ENSMUSG00000002342.17	2834	3619	4141	5332	2125	2396
ENSMUSG00000002343.11	3610	4755	3124	5101	2660	3073
ENSMUSG00000002345.18	1884	2448	2099	3199	1603	1846
ENSMUSG00000002346.16	652	928	753	1236	561	570
ENSMUSG00000002365.10	1187	1514	2551	3115	969	1056
ENSMUSG00000002372.8	10300	13165	10380	14260	9026	10146
ENSMUSG00000002379.6	4916	6405	4077	6814	4116	4788
ENSMUSG00000002384.2	20	22	49	61	30	33
ENSMUSG00000002393.14	1626	2642	3143	4625	2427	2266
ENSMUSG00000002395.14	4508	5469	4582	6064	3194	3491
ENSMUSG00000002396.8	610	665	490	771	397	420
ENSMUSG00000002409.18	1585	2015	1874	2452	1876	2155
ENSMUSG00000002413.15	8602	8646	8094	9740	6587	7963
ENSMUSG00000002416.13	1557	1655	1243	1754	1450	1607
ENSMUSG00000002428.12	3282	3345	3669	4090	2862	3237
ENSMUSG00000002455.14	8079	9231	8170	10274	7235	8234
ENSMUSG00000002458.13	1171	1507	1196	1653	813	1025
ENSMUSG00000002459.17	501	627	464	595	450	608
ENSMUSG00000002475.15	45	85	137	235	53	69
ENSMUSG00000002477.4	8908	9335	8315	10569	7106	8511
ENSMUSG00000002486.15	1882	2227	1962	2534	1660	1868
ENSMUSG00000002489.16	4744	4994	3405	3979	3374	3798
ENSMUSG00000002496.10	11120	13677	10547	14260	9073	9974
ENSMUSG00000002500.15	10	7	6	13	5	6
ENSMUSG00000002504.14	637	984	570	889	426	539
ENSMUSG00000002524.17	13679	16836	14668	19222	13267	14526
ENSMUSG00000002546.16	7530	9482	7160	10175	6109	7063
ENSMUSG00000002550.16	3079	4365	2891	4549	2847	2976
ENSMUSG00000002565.16	2	3	4	5	0	1
