	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000002032.17	558	486	359	904	783	859
ENSMUSG00000002033.14	1	1	0	0	0	0
ENSMUSG00000002043.17	3215	2492	3109	930	950	894
ENSMUSG00000002052.6	13542	11379	11493	17258	14758	12485
ENSMUSG00000002055.9	10084	6921	8812	3249	4591	2528
ENSMUSG00000002057.4	7	0	2	0	4	1
ENSMUSG00000002058.13	3264	2177	2885	3527	3353	3211
ENSMUSG00000002059.18	3353	2414	3121	2570	2275	1135
ENSMUSG00000002064.10	11202	7968	11264	5112	5089	3942
ENSMUSG00000002068.16	11496	12589	8717	1762	2264	1010
ENSMUSG00000002076.11	3603	3849	1464	492	302	94
ENSMUSG00000002083.13	5397	3031	5355	1186	1659	1299
ENSMUSG00000002100.15	10	11	6	16	923	15
ENSMUSG00000002102.15	16558	12272	12376	14313	14080	11622
ENSMUSG00000002103.15	3103	2048	3061	7021	7100	6089
ENSMUSG00000002104.11	71	123	35	11	18	7
ENSMUSG00000002105.15	1581	962	1565	1885	2078	1494
ENSMUSG00000002107.18	1061	1014	1199	19686	10143	10009
ENSMUSG00000002108.10	60	53	52	45	50	53
ENSMUSG00000002109.14	2320	1858	1900	1526	1384	845
ENSMUSG00000002111.8	26	19	15	1	6	2
ENSMUSG00000002129.11	16191	11661	13247	15614	14458	12305
ENSMUSG00000002147.18	3887	2879	2985	242	325	94
ENSMUSG00000002190.13	1411	1327	837	1376	921	671
ENSMUSG00000002204.9	73	90	32	3	3	0
ENSMUSG00000002205.16	4959	3583	4245	1896	2275	1635
ENSMUSG00000002210.11	3573	2618	3029	2017	2053	1885
ENSMUSG00000002221.11	6181	5607	4175	5908	6317	4993
ENSMUSG00000002222.14	13818	10315	10936	10198	9149	9605
ENSMUSG00000002227.15	11597	9538	9215	1889	2568	656
ENSMUSG00000002228.7	4536	4036	3712	48	98	21
ENSMUSG00000002233.13	9305	5641	9123	1544	2764	797
ENSMUSG00000002240.12	0	0	0	0	0	0
ENSMUSG00000002249.20	5065	1757	6236	1553	2387	1656
ENSMUSG00000002250.15	3144	1928	2576	744	1252	558
ENSMUSG00000002257.7	2049	1252	1476	247	245	72
ENSMUSG00000002265.16	33711	20418	37954	45703	50267	23988
ENSMUSG00000002266.17	1002	438	1166	2834	2868	878
ENSMUSG00000002274.12	5202	3119	4542	2670	3151	3731
ENSMUSG00000002279.18	1825	1475	1669	1033	1428	858
ENSMUSG00000002280.10	2483	1625	2435	1742	1835	1471
ENSMUSG00000002289.15	709	913	363	242	128	19
ENSMUSG00000002297.16	22532	18048	16247	3609	4563	2523
ENSMUSG00000002307.15	4343	3707	3361	3896	3881	3308
ENSMUSG00000002308.15	6797	6270	5719	1792	2055	1654
ENSMUSG00000002319.16	4312	3321	3504	2745	3333	2264
ENSMUSG00000002320.15	4189	3063	4389	2746	3467	1809
ENSMUSG00000002324.8	3289	1909	2594	1305	2577	1526
ENSMUSG00000002325.15	1291	1155	1006	1587	2080	1588
ENSMUSG00000002326.6	2916	2071	2393	2295	2391	1826
ENSMUSG00000002329.7	4080	2960	3219	3844	3401	3190
ENSMUSG00000002332.16	1968	1625	1859	2749	2968	2535
ENSMUSG00000002341.8	564	580	496	33087	33865	31879
ENSMUSG00000002342.17	6071	4409	6144	2834	4141	2125
ENSMUSG00000002343.11	1241	1080	1065	3610	3124	2660
ENSMUSG00000002345.18	1107	860	989	1884	2099	1603
ENSMUSG00000002346.16	1097	710	741	652	753	561
ENSMUSG00000002365.10	7681	4265	7630	1187	2551	969
ENSMUSG00000002372.8	13739	11835	10683	10300	10380	9026
ENSMUSG00000002379.6	9457	7371	6783	4916	4077	4116
ENSMUSG00000002384.2	1905	1465	2147	20	49	30
ENSMUSG00000002393.14	3246	2790	3324	1626	3143	2427
ENSMUSG00000002395.14	5721	4346	4417	4508	4582	3194
ENSMUSG00000002396.8	263	206	172	610	490	397
ENSMUSG00000002409.18	729	576	709	1585	1874	1876
ENSMUSG00000002413.15	10061	6489	10958	8602	8094	6587
ENSMUSG00000002416.13	858	698	679	1557	1243	1450
ENSMUSG00000002428.12	8723	6476	7048	3282	3669	2862
ENSMUSG00000002455.14	8211	5993	6916	8079	8170	7235
ENSMUSG00000002458.13	2585	1557	2376	1171	1196	813
